"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"57" 179 0 "Lisianski Island" "Island" -173.965922 26.063953 1.593545 1 1 1 3306.617 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 23 15 4 23.38 1122.4 0 0 NA NA 5 "nfix" 0
"58" 180 17 "Maui Island" "Island" -156.336777 20.790415 1894.105903 1 1 1 3678.732 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.15 497 873 20.62574 1487.02113 3.13661 82.59537 39.47477 25.38011 2968 "nfix" 1
"59" 181 0 "Midway Atoll (incl. Sand and Eastern Islands)" "Island" -177.367191 28.20805 6.433519 0.754003835226102 0.568239977253341 3 3161.192 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 17.9 30 125 22.36 1103 0 NA NA NA 13 "nfix" 0
"60" 183 12 "Moloka'i Island" "Island" -157.014518 21.133173 680.421602 1 1 1 3709.532 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 1.99 375 513 22.75842 834.57244 0.60182 11.56095 33.24212 21.3973 1353 "nfix" 1
"61" 184 1 "Nihoa Island" "Island" -161.922525 23.060456 0.652311 1 1 1 3540.516 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 7 20 5 24.1 1394 0 0 NA 0 0 "nfix" 0
"62" 185 1 "Necker Island" "Island" -164.700265 23.575664 0.370184 1 1 1 3467.951 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 10 5 0 24 1043 0 0 NA NA 0 "nfix" 0
"63" 186 5 "Ni'ihau Island" "Island" -160.151831 21.896643 197.312532 1 1 1 3650.298 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 5.92 94 148 24.07339 1243.33871 3e-05 1.02864 16.61622 10.8 336 "nfix" 0
"64" 187 15 "O'ahu Island (incl. Mokoli'i Islet)" "Island" -157.973393 21.458674 1560.184472 1 1 1 3699.816 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3.39 460 906 23.2599 1125.77391 23.63458 640.4557 61.82063 39.98317 1159 "nfix" 2
"65" 202 33 "La Réunion" "Island" 55.532685 -21.133348 2512.652312 1 1 1 1664.739 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3 939 660 19.31814 2647.24684 0 340.00966 39.82716 25.95064 2932 "nfix" 5
"66" 203 2 "Eiao" "Island" -140.687406 -7.996287 41.064933 1 1 1 4762.04 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 6 45 41 25.79444 1460.55556 0 9.42805 NA 0 492 "nfix" 0
"67" 204 8 "Fatu Hiva" "Island" -138.639836 -10.471635 95.287835 1 1 1 4828.162 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 1 131 154 26.7 1610.89216 0 6.81575 NA 0 0 "nfix" 0
"68" 205 0 "Fatu Huku" "Island" -138.926494 -9.436807 0.593431 0.792590882512036 0.681000107770234 2 4766.677 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.6 11 7 26.725 1589.25 0 4.15731 NA 0 17 "nfix" 0
"69" 206 0 "Hatutaa" "Island" -140.569691 -7.917641 8.410081 1 1 1 4750.986 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 4.8 31 21 26.25263 1400.68421 0 9.42805 NA 0 351 "nfix" 0
"70" 207 9 "Hiva Oa" "Island" -139.013922 -9.774777 319.393502 1 1 1 4783.626 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.22 155 201 24.55618 2007.58333 0.15659 6.11663 9.09668 6.04683 1107 "nfix" 1
"71" 208 2 "Mohotani" "Island" -138.829615 -9.985292 20.103648 1 1 1 4803.109 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2 43 37 26.14848 1947.57576 0 NA NA 10 374 "nfix" 0
"72" 209 0 "Hatu Iti (Motu Iti)" "Island" -140.613076 -8.676831 0.216564 0.572361980753957 0.359607637064285 2 4820.807 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.3 2 0 26.8 1358 0 9.42805 NA 0 1 "nfix" 0
"73" 211 12 "Nuku Hiva" "Island" -140.139323 -8.866239 346.619429 1 1 1 4789.953 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 4.1 175 228 24.45012 1621.29829 0.27494 6.22625 9.87004 7.05112 1089 "nfix" 1
"74" 212 6 "Tahuata" "Island" -139.088564 -9.944988 71.906803 1 1 1 4815.018 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.32 115 109 25.63305 2119.81356 0.15422 8.90748 NA 7.39286 740 "nfix" 0
"75" 213 8 "Ua Huka" "Island" -139.551964 -8.909323 91.63114 1 1 1 4762.984 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3.11 113 164 25.61077 1388.84615 0 5.79153 NA 6.85859 778 "nfix" 0
"76" 214 4 "Ua Pou" "Island" -140.073942 -9.397857 108.789259 1 1 1 4838.959 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 5.6 106 148 25.33485 1592.06818 0.39472 18.83424 NA 10 717 "nfix" 0
"77" 216 2 "Pitcairn" "Island" -130.106263 -25.069647 4.917533 1 1 1 5339.859 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.87 60 26 22.2 1824.57143 0 2.86584 NA NA 205 "nfix" 0
"78" 217 5 "Henderson" "Island" -128.322888 -24.376726 44.552778 1 1 1 5252.133 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 16 61 4 22.82115 1653.03846 0 2.86584 2.51351 1.67442 32 "nfix" 0
"79" 218 0 "Oeno" "Island" -130.740043 -23.927746 2.90403 0.711134182498115 1 3 5471.485 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 13 17 2 23.1 1588.54545 0 2.86584 NA NA 5 "nfix" 0
"80" 219 0 "Ducie" "Island" -124.783074 -24.680617 1.819902 0.911167744197215 1 2 4967.995 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 8 4 0 22.9 1602.2 0 2.86584 NA NA 2 "nfix" 0
